category_slug,slug,title,summary,content,difficulty,read_time_minutes,tags,icon,status,featured,display_order,search_keywords
agile-methodology,what-is-agile,What is Agile?,"Agile is a methodology that transformed software development — and now your life.","## Agile: The System Behind World-Class Teams

Agile is the methodology that companies like Apple, Google, Spotify, and Amazon use to ship world-class products every week.

### Core Principles:
- **Work in short, focused cycles** (Sprints)
- **Commit only to what you can deliver**
- **Measure everything**
- **Improve continuously**
- **Adapt quickly when things change**

### Why Agile for Life?

Your life is the most important product you'll ever build. Traditional approaches fail because endless to-do lists never end, vague annual goals fade by February, and reactive firefighting replaces proactive planning.

**Kaiz applies Agile to your personal life** — bringing structure, measurement, and continuous improvement to everything you do.",BEGINNER,3,"agile,methodology,basics",🏃,PUBLISHED,true,1,agile methodology scrum kanban sprint planning productivity
agile-methodology,agile-vs-traditional,Agile vs Traditional Planning,"Why fixed annual goals fail and iterative cycles succeed.","## The Problem with Traditional Planning

### Annual Goals Approach:
- Set big goals in January
- Forget them by March
- Feel guilty in December
- Repeat

### The Agile Alternative:
Instead of planning a year ahead, plan one week at a time with continuous feedback and adaptation.

### The 52-Sprint Year
With weekly sprints, you get **52 opportunities to improve** instead of waiting a full year to see if your plan worked.",BEGINNER,2,"agile,planning,goals",📊,PUBLISHED,false,2,agile traditional waterfall planning goals annual quarterly
sprint-planning,what-is-sprint,What is a Sprint?,"A sprint is a fixed time cycle (usually 1 week) for focused execution.","## Sprints: Your Weekly Execution Cycle

A **Sprint** is a fixed time period where you commit to completing a specific set of tasks.

### In Kaiz:
- **Duration**: 1 week (Sunday to Saturday)
- **Start**: Sprint Planning (Sunday)
- **Daily**: Quick standups
- **End**: Review & Retrospective

### Key Principles:
1. **Fixed timeframe** - No extensions
2. **Protected scope** - Don't add mid-sprint
3. **Clear commitment** - Know what's in/out
4. **Team velocity** - Track capacity over time",BEGINNER,3,"sprint,weekly,planning",📅,PUBLISHED,true,1,sprint week cycle planning execution
sprint-planning,creating-your-first-sprint,Creating Your First Sprint,"Step-by-step guide to planning your weekly sprint.","## Your First Sprint Planning Session

### Step 1: Review Your Backlog
Look at all pending tasks and upcoming commitments.

### Step 2: Check Your Calendar
Block time for fixed commitments (meetings, appointments).

### Step 3: Estimate Your Capacity
How many hours of productive work can you realistically do?

### Step 4: Select Sprint Tasks
Pull tasks from your backlog that fit your capacity.

### Step 5: Commit
Lock your sprint. You're ready to execute!

**Pro Tip:** Start with 60% capacity in your first few sprints. It's better to under-commit and over-deliver.",BEGINNER,4,"sprint,planning,guide",📝,PUBLISHED,false,2,first sprint create planning start begin
sprint-planning,sprint-review-retro,Sprint Review & Retrospective,"How to close your sprint and improve for next week.","## End Your Sprint Strong

### Sprint Review (What happened?)
- What tasks did you complete?
- What tasks didn't get done?
- Any blockers or surprises?

### Sprint Retrospective (How to improve?)
Ask yourself:
- **What went well?** Keep doing it
- **What could improve?** Experiment next sprint
- **What will I try?** One concrete change

### The Improvement Loop
Every week, make one small improvement. Over 52 weeks, that's 52 improvements that compound into massive change.",INTERMEDIATE,3,"sprint,review,retrospective",🔄,PUBLISHED,false,3,review retrospective improvement close sprint
task-management,creating-effective-tasks,Creating Effective Tasks,"Master the art of clear, actionable task creation.","## Write Tasks That Get Done

### The SMART Task Formula:
- **Specific**: Exactly what needs doing
- **Measurable**: You know when it's done
- **Actionable**: Starts with a verb
- **Realistic**: Completable in one session
- **Time-bound**: Has a clear deadline

### Examples:
❌ Bad: 'Work on project'
✅ Good: 'Write introduction section of proposal (30 min)'

❌ Bad: 'Exercise more'
✅ Good: 'Complete 20-minute HIIT workout'

### Task Breakdown Rule
If a task takes more than 2 hours, break it down into smaller subtasks.",BEGINNER,2,"task,creation,productivity",✅,PUBLISHED,true,1,task create add new effective smart
task-management,task-status-workflow,Understanding Task Status,"Learn the task lifecycle: To Do → In Progress → Done.","## The Task Journey

### To Do
Tasks waiting to be started. Your backlog.

### In Progress
Currently working on. Keep this list small (1-3 items).

### Done
Completed tasks. Celebrate these wins!

### Why Status Matters
- Visualize your progress
- Identify bottlenecks
- Stay focused on what's actually 'in progress'

**Pro Tip:** Working on too many tasks at once slows everything down. Focus on finishing, not starting.",BEGINNER,2,"task,status,workflow",🔄,PUBLISHED,false,2,task status progress done workflow
task-management,task-priorities,Setting Task Priorities,"How to decide what to work on first.","## The Priority System

### High Priority 🔴
- Urgent and important
- Deadlines today/tomorrow
- Blocking other work

### Medium Priority 🟡
- Important but not urgent
- Due this week
- Part of active sprint

### Low Priority 🟢
- Nice to have
- No pressing deadline
- Can be moved to later

### The Eisenhower Connection
Kaiz integrates with the Eisenhower Matrix to help you automatically categorize by urgency and importance.",BEGINNER,3,"priority,urgency,important",🎯,PUBLISHED,false,3,priority high low medium urgent important
eisenhower-matrix,what-is-eisenhower,What is the Eisenhower Matrix?,"A prioritization framework that separates urgent from important.","## The Eisenhower Decision Matrix

President Eisenhower said: 'What is important is seldom urgent and what is urgent is seldom important.'

### The Four Quadrants:

**Q1: Do First (Urgent + Important)**
Crises, deadlines, emergencies

**Q2: Schedule (Not Urgent + Important)**
Planning, relationships, learning, health

**Q3: Delegate (Urgent + Not Important)**
Interruptions, some meetings, some emails

**Q4: Eliminate (Not Urgent + Not Important)**
Time wasters, distractions, busywork

### The Secret
Most people live in Q1 and Q3 (reactive). High performers spend most time in Q2 (proactive).",BEGINNER,3,"eisenhower,priority,matrix",🎯,PUBLISHED,true,1,eisenhower matrix priority urgent important quadrant
eisenhower-matrix,quadrant-strategies,Strategies for Each Quadrant,"How to handle tasks based on their Eisenhower classification.","## Working the Matrix

### Quadrant 1: Do First
- Handle immediately
- Time-block if needed
- Prevent by better Q2 planning

### Quadrant 2: Schedule
- This is your GROWTH zone
- Schedule dedicated time
- Protect from interruptions
- Most important long-term

### Quadrant 3: Delegate
- Automate if possible
- Batch similar tasks
- Set boundaries
- Question if truly necessary

### Quadrant 4: Eliminate
- Just say no
- Delete, unsubscribe, block
- Recognize time thieves
- Free up capacity for Q2",INTERMEDIATE,4,"eisenhower,strategy,quadrant",💡,PUBLISHED,false,2,quadrant strategy handle prioritize
